name,Price,Processor Brand,Processor Name,RAM,SSD Capacity,Graphic Processor,Screen Size,Screen Resolution,Additional Features,user rating,simulated_reviews
"Lenovo Yoga 7I Ryzen 7 Octa Core R7-5800U 5Th Gen - (16 Gb/512 Gb Ssd/Windows 10 Home) 14Itl5 2 In 1 Laptop  (14 Inch, Slate Grey, 1.43 Kg, With Ms Office)",992.19,Amd,Ryzen 7 Octa Core,16.0,512.0,Amd Radeon Integrated Amd Radeon Graphics,35.56 cm (14 inch),1920 x 1080$$Pixels pixel,"Free upgrade to Windows 11 when available* Disclaimer-*The Windows 11 upgrade will be delivered late 2021 into 2022. Specific timing varies by device. Certain features require specific hardware., Processor: 5th Gen AMD Ryzen 7 - 5800U | Speed: 1.9 GHz (Base) - 4.4 GHz (Max) | 8 Cores | 16 Threads | 4MB L2/16MB L3 Cache, OS: Pre-Loaded Windows 10 Home with Lifetime Validity, FREE Upgrade to Windows 11* (when available), Pre-Installed: MS Office Home and Student 2019, Memory and Storage: 16GB RAM DDR4-3200 | 512 GB SSD, Graphics: Integrated AMD Radeon Graphics, Display: 14"" Full HD (1920x1080) | Brightness: 300 nits | IPS Technology | 72% NTSC | Touchscreen",4.3,"This laptop has the following features: free upgrade to windows 11 when available* disclaimer-*the windows 11 upgrade will be delivered late 2021 into 2022. specific timing varies by device. certain features require specific hardware., processor: 5th gen amd ryzen 7 - 5800u | speed: 1.9 ghz (base) - 4.4 ghz (max) | 8 cores | 16 threads | 4mb l2/16mb l3 cache, os: pre-loaded windows 10 home with lifetime validity, free upgrade to windows 11* (when available), pre-installed: ms office home and student 2019, memory and storage: 16gb ram ddr4-3200 | 512 gb ssd, graphics: integrated amd radeon graphics, display: 14"" full hd (1920x1080) | brightness: 300 nits | ips technology | 72% ntsc | touchscreen. Users find it reliable and suitable for its intended purpose."
"Asus Ryzen 7 Dual Core 7Th Gen - (16 Gb/512 Gb Hdd/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx3050- 4Gb) Fa506Ic-Hn075W Gaming Laptop  (15.6 Inch, Black)",829.8,Amd,Ryzen 7 Dual Core,16.0,512.0,Nvidia Geforce Rtx3050- 4Gb,39.62 cm (15.6 inch),1080 x 1920$$Pixels pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Ryzen 3 Quad Core 3Rd Gen - (8 Gb/256 Gb Ssd/Windows 11 Home) M515Da-Br322Ws Laptop  (15.6 Inch, Silver, With Ms Office)",369.49,Amd,Ryzen 3 Quad Core,8.0,256.0,Amd Radeon Amd Redeon,39.62 cm (15.6 inch),1080 x 1920$$Pixels pixel,No additional features provided.,4.7,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Rog Flow X13 (2021) Ryzen 9 Octa Core Ryzen 9 5900Hs 5Th Gen - (32 Gb/1 Tb Ssd/Windows 10 Home/4 Gb Graphics/Nvidia Geforce Gtx 1650/120 Hz) Gv301Qh-K6461Ts 2 In 1 Gaming Laptop  (13.4 Inch, Black, 1.3 Kg, With Ms Office)",1299.9,Amd,Ryzen 9 Octa Core,32.0,1024.0,Nvidia Geforce Gtx 1650,34.04 cm (13.4 Inch),1920 x 1200 Pixel,"Viewing Angle (89/89/89/89), 62 WHrs Li-ion Battery, BIOS Administrator Password and User Password Protection",4.3,"This laptop has the following features: viewing angle (89/89/89/89), 62 whrs li-ion battery, bios administrator password and user password protection. Users find it reliable and suitable for its intended purpose."
"Msi Gp66 Leopard Core I7 11Th Gen - (16 Gb/1 Tb Ssd/Windows 10 Home/8 Gb Graphics/Nvidia Geforce Rtx 3070/240 Hz) Gp66 Leopard 11Ug Gaming Laptop  (15.6 Inches, Black, 2.9 Kg)",1582.7,Intel,Core I7,16.0,1024.0,Nvidia Geforce Rtx 3070,39.62 cm (15.6 inches),1920 x 1080 Pixels,"SteelSeries Engine 3, Matrix Display (Extend), VR Ready, Cooler Boost 5, Per-Key RGB Gaming Keyboard by Steelseries, Hi-Res Audio, Nahimic 3, Thin Bezel, 240Hz Panel, WiFi 6E, Discrete Graphics Mode, Speaker Tuning Engine, 2.5Gb LAN",4.3,"This laptop has the following features: steelseries engine 3, matrix display (extend), vr ready, cooler boost 5, per-key rgb gaming keyboard by steelseries, hi-res audio, nahimic 3, thin bezel, 240hz panel, wifi 6e, discrete graphics mode, speaker tuning engine, 2.5gb lan. Users find it reliable and suitable for its intended purpose."
"Asus Vivobook 15 Oled Core I3 11Th Gen - (8 Gb/256 Gb Ssd/Windows 11 Home) K513Ea-L301Ws Laptop  (15.6 Inch, Hearty Gold, 1.80 Kg Kg, With Ms Office)",479.9,Intel,Core I3,8.0,256.0,Intel Integrated Intel® Uhd Graphics,39.62 cm (15.6 inch),1920 x 1080 pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Realme Book Prime Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Cloudpro002 Thin And Light Laptop  (14 Inch, Grey, 1.37 Kg, With Ms Office)",649.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2160 x 1440 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Realme Book Prime Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Cloudpro002 Thin And Light Laptop  (14 Inch, Green, 1.37 Kg, With Ms Office)",649.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2160 x 1440 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Realme Book Prime Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Cloudpro002 Thin And Light Laptop  (14 Inch, Blue, 1.37 Kg, With Ms Office)",649.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2160 x 1440 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I7 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050 Ti/165 Hz) G15-5511 Se Gaming Laptop  (15.6 Inch, Obsidian Black, 2.65 Kg, With Ms Office)",1039.9,Intel,Core I7,16.0,512.0,Nvidia Geforce Rtx 3050 Ti,39.62 cm (15.6 inch),1920 x 1080 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell Ryzen 5 Hexa Core 5600H - (8 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050/120 Hz) G15-5515 Gaming Laptop  (15.6 Inch, Grey, 2.57 Kg, With Ms Office)",694.9,Amd,Ryzen 5 Hexa Core,8.0,512.0,Nvidia Geforce Rtx 3050,39.62 cm (15.6 inch),1920 x 1080 Pixel,No additional features provided.,4.5,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Avita Satus Celeron Dual Core - (4 Gb/128 Gb Ssd/Windows 11 Home) Nu14A1Inc43Pn-Mb Laptop  (14.1 Inch, Matt Black)",219.9,Intel,Celeron Dual Core,4.0,128.0,Intel Integrated Uhd Graphics,35.81 cm (14.1 Inch),1920 x 1080 Pixels,No additional features provided.,4.4,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Vivobook S14 Oled (2022) Intel Evo Core I5 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) S3402Za-Km501Ws Thin And Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With Ms Office)",749.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe Graphics,35.56 cm (14 Inch),2880 x 1800 Pixels,"70WHrs, 3S1P, Li-ion Battery",4.6,"This laptop has the following features: 70whrs, 3s1p, li-ion battery. Users find it reliable and suitable for its intended purpose."
"Asus Vivobook S14 Oled (2022) Intel Evo Core I7 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) S3402Za-Km702Ws Thin And Light Laptop  (14 Inch, Indie Black, 1.50 Kg, With Ms Office)",949.9,Intel,Core I7,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2880 x 1800 Pixels,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Zenbook 14 Oled (2022) Intel Evo Core I5 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Ux3402Za-Km531Ws Thin And Light Laptop  (14 Inch, Ponder Blue, 1.39 Kg, With Ms Office)",899.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2880 x 1800 Pixel,"75 W Hrs, 2S2P, 4-cell Li-ion, with Cortana and Alexa Voice Recognition Support",4.3,"This laptop has the following features: 75 w hrs, 2s2p, 4-cell li-ion, with cortana and alexa voice recognition support. Users find it reliable and suitable for its intended purpose."
"Asus Zenbook 14X (2022) Space Edition Intel Evo Core I7 12Th Gen - (16 Gb/1 Tb Ssd/Windows 11 Home) Ux5401Zas-Kn711Ws Thin And Light Laptop  (14 Inch, Titanium, 1.40 Kg, With Ms Office)",1349.9,Intel,Core I7,16.0,1024.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2880 x 1800 Pixel,"63WHrs, 3S1P, 3-cell Li-ion, with Cortana and Alexa voice-recognition support",4.3,"This laptop has the following features: 63whrs, 3s1p, 3-cell li-ion, with cortana and alexa voice-recognition support. Users find it reliable and suitable for its intended purpose."
"Asus Vivobook S14 Oled (2022) Intel Evo Core I5 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) S3402Za-Km502Ws Thin And Light Laptop  (14 Inch, Indie Black, 1.50 Kg, With Ms Office)",749.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe Graphics,35.56 cm (14 Inch),2880 x 1800 Pixels,"70WHrs, 3S1P, Li-ion Battery",4.6,"This laptop has the following features: 70whrs, 3s1p, li-ion battery. Users find it reliable and suitable for its intended purpose."
"Asus Zenbook 14 Oled (2022) Intel Evo Core I7 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Ux3402Za-Km731Ws Thin And Light Laptop  (14 Inch, Ponder Blue, 1.39 Kg, With Ms Office)",1049.9,Intel,Core I7,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2880 x 1800 Pixel,"75 W Hrs, 2S2P, 4-cell Li-ion, with Cortana and Alexa Voice Recognition Support",4.3,"This laptop has the following features: 75 w hrs, 2s2p, 4-cell li-ion, with cortana and alexa voice recognition support. Users find it reliable and suitable for its intended purpose."
"Asus Vivobook S14 Oled (2022) Intel Evo Core I7 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) S3402Za-Km701Ws Thin And Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With Ms Office)",949.9,Intel,Core I7,16.0,512.0,Intel Integrated Iris Xe Graphics,35.56 cm (14 Inch),2880 x 1800 Pixels,"70WHrs, 3S1P, Li-ion Battery",4.3,"This laptop has the following features: 70whrs, 3s1p, li-ion battery. Users find it reliable and suitable for its intended purpose."
"Asus Zenbook 14X (2022) Space Edition Intel Evo Core I5 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) Ux5401Zas-Kn521Ws Thin And Light Laptop  (14 Inch, Titanium, 1.40 Kg, With Ms Office)",1149.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),2880 x 1800 Pixel,"63WHrs, 3S1P, 3-cell Li-ion, with Cortana and Alexa voice-recognition support",4.3,"This laptop has the following features: 63whrs, 3s1p, 3-cell li-ion, with cortana and alexa voice-recognition support. Users find it reliable and suitable for its intended purpose."
"Dell Vostro 3405 Ryzen 5 Quad Core 3450U - (8 Gb/256 Gb Ssd/Windows 11 Home) Vostro 3405 Thin And Light Laptop  (14 Inch, Dune, 1.59 Kg, With Ms Office)",429.9,Amd,Ryzen 5 Quad Core,8.0,256.0,Amd Radeon Vega 8,35.56 cm (14 inch),1920 x 1080 Pixel,Li-ion Battery,4.3,This laptop has the following features: li-ion battery. Users find it reliable and suitable for its intended purpose.
"Asus Ryzen 7 Hexa Core 10Th Gen - (8 Gb/512 Gb Ssd/Windows 10 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050 Rts) Fa506Ic-Hn005T Gaming Laptop  (15.6 Inch, Graphite Black)",805.0,Amd,Ryzen 7 Hexa Core,8.0,512.0,Nvidia Geforce Rtx 3050 Rts,39.62 cm (15.6 inch),1080 x 1920$$Pixels pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Ryzen 9 Octa Core 10Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Geforce Rtx Rtx3060-6Gb) Fa506Qm-Hn124W Gaming Laptop  (16.6 Inch, Graphite Black)",1069.9,Amd,Ryzen 9 Octa Core,16.0,512.0,Nvidia Geforce Rtx Rtx3060-6Gb,42.16 cm (16.6 inch),1080-1920 pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Core I5 10Th Gen - (8 Gb/256 Gb Ssd/Windows 11 Home) X515Ja-Bq511Ws Thin And Light Laptop  (15.6 Inch, Transparent Silver, With Ms Office)",434.3,Intel,Core I5,8.0,256.0,Intel Integrated Intel,39.62 cm (15.6 inch),1080*1920 pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Core I5 11Th Gen - (8 Gb/1 Tb Hdd/256 Gb Ssd/Windows 10 Home) K513Ea-L501Ts Laptop  (15.6 Inch, Hearty Gold, With Ms Office)",659.9,Intel,Core I5,8.0,256.0,Intel Integrated Intel Hd Graphics,39.62 cm (15.6 inch),720x1080 FHD OLED pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Ryzen 7 Quad Core 10Th Gen - (8 Gb/512 Gb Ssd/Windows 10 Home/4 Gb Graphics/Nvidia Geforce Gtx Gtx 1650 4Gb Graphics) G713Ih-Hx020T Gaming Laptop  (17.3 Inch, Gray)",824.49,Amd,Ryzen 7 Quad Core,8.0,512.0,Nvidia Geforce Gtx Gtx 1650 4Gb Graphics,43.94 cm (17.3 inch),1920*1080 pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home) K413Ea-Eb522Ws Thin And Light Laptop  (14 Inch, Indie Black, 1.40 Kg, With Ms Office)",609.9,Intel,Core I5,16.0,512.0,Intel Integrated Iris Xe,35.56 cm (14 inch),1920 x 1080 Pixel,42 Whrs Li-ion Battery,4.3,This laptop has the following features: 42 whrs li-ion battery. Users find it reliable and suitable for its intended purpose.
"Asus Vivobook 15 (2021) Core I5 10Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home) X515Ja-Bq521Ws Thin And Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With Ms Office)",479.9,Intel,Core I5,8.0,512.0,Intel Integrated Uhd,39.62 cm (15.6 inch),1920 x 1080 Pixel,37 WHrs Li-ion Battery,5.0,This laptop has the following features: 37 whrs li-ion battery. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I7 12Th Gen - (16 Gb/1 Tb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Geforce Rtx 3060) G15-5521 Se Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 Kg, With Ms Office)",1389.9,Intel,Core I7,16.0,1024.0,Nvidia Geforce Rtx 3060,39.62 cm (15.6 Inch),2560 x1440 Pixel,86 WHr,4.3,This laptop has the following features: 86 whr. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I5 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 Kg, With Ms Office)",879.9,Intel,Core I5,16.0,512.0,Nvidia Geforce Rtx 3050,39.62 cm (15.6 Inch),1920 x 1080 Pixel,56 WHr,4.3,This laptop has the following features: 56 whr. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I7 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Geforce Rtx 3060) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 Kg, With Ms Office)",1279.9,Intel,Core I7,16.0,512.0,Nvidia Geforce Rtx 3060,39.62 cm (15.6 Inch),1920 x 1080 Pixel,86 WHr,4.3,This laptop has the following features: 86 whr. Users find it reliable and suitable for its intended purpose.
"Asus Core I3 11Th Gen - (8 Gb/256 Gb Ssd/Windows 10 Home) X515Ea-Br312Ts Thin And Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With Ms Office)",369.9,Intel,Core I3,8.0,256.0,Intel Integrated Uhd,39.62 cm (15.6 inch),1366 x 768 Pixel,37WHr Li-ion battery,4.3,This laptop has the following features: 37whr li-ion battery. Users find it reliable and suitable for its intended purpose.
"Dell Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) G15-5511 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.65 Kg, With Ms Office)",744.9,Intel,Core I5,16.0,512.0,Nvidia Geforce Rtx 3050,39.62 cm (15.6 inch),1920 x 1080 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I7 12Th Gen - (16 Gb/1 Tb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050 Ti) G15-5521 Se Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 Kg, With Ms Office)",1174.9,Intel,Core I7,16.0,1024.0,Nvidia Geforce Rtx 3050 Ti,39.62 cm (15.6 Inch),1920 x 1080 Pixel,56 WHr,4.3,This laptop has the following features: 56 whr. Users find it reliable and suitable for its intended purpose.
"Dell G15 Core I7 12Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050 Ti) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 Kg, With Ms Office)",1049.9,Intel,Core I7,16.0,512.0,Nvidia Geforce Rtx 3050 Ti,39.62 cm (15.6 Inch),1920 x 1080 Pixel,56 WHr,4.3,This laptop has the following features: 56 whr. Users find it reliable and suitable for its intended purpose.
"Dell Core I5 11Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) G15-5511 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.65 Kg, With Ms Office)",694.9,Intel,Core I5,8.0,512.0,Nvidia Geforce Rtx 3050,39.62 cm (15.6 inch),1920 x 1080 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Acer Aspire 5 Core I5 11Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home) A515-56 Thin And Light Laptop  (15.6 Inch, Pure Silver, 1.65 Kg, With Ms Office)",499.9,Intel,Core I5,8.0,512.0,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),1920 x 1080 Pixel,No additional features provided.,4.3,This laptop has the following features: no additional features provided.. Users find it reliable and suitable for its intended purpose.
"Asus Vivobook Ultra K15 Oled Core I3 11Th Gen - (8 Gb/1 Tb Hdd/256 Gb Ssd/Windows 11 Home) K513Ea-L322Ws Thin And Light Laptop  (15.6 Inch, Indie Black, 1.80 Kg, With Ms Office)",509.9,Intel,Core I3,8.0,256.0,Intel Integrated Uhd,39.62 cm (15.6 inch),1920 x 1080 Pixel,42 WHrs Li-ion Battery,4.3,This laptop has the following features: 42 whrs li-ion battery. Users find it reliable and suitable for its intended purpose.
